county,date,customers_out
Cheatham,2020-12-31,0
Cocke,2020-12-31,3
Davidson,2020-12-31,61
Dickson,2020-12-31,0
Fayette,2020-12-31,115
Franklin,2020-12-31,3
Hancock,2020-12-31,1
Hardeman,2020-12-31,63
Hawkins,2020-12-31,3
Knox,2020-12-31,99
Loudon,2020-12-31,2
Madison,2020-12-31,63
Marion,2020-12-31,2
Montgomery,2020-12-31,1
Robertson,2020-12-31,0
Rutherford,2020-12-31,2
Sevier,2020-12-31,1
Shelby,2020-12-31,160
Stewart,2020-12-31,0
Sullivan,2020-12-31,4
Sumner,2020-12-31,1
Tipton,2020-12-31,756
Washington,2020-12-31,3
Williamson,2020-12-31,111
Anderson,2021-01-01,25
Bedford,2021-01-01,1
Bledsoe,2021-01-01,18
Blount,2021-01-01,60
Bradley,2021-01-01,43
Campbell,2021-01-01,64
Cannon,2021-01-01,2
Cheatham,2021-01-01,83
Chester,2021-01-01,49
Claiborne,2021-01-01,104
Clay,2021-01-01,44
Cocke,2021-01-01,71
Coffee,2021-01-01,11
Crockett,2021-01-01,51
Cumberland,2021-01-01,175
Davidson,2021-01-01,2877
Dickson,2021-01-01,0
Fayette,2021-01-01,23
Fentress,2021-01-01,439
Franklin,2021-01-01,69
Gibson,2021-01-01,33
Giles,2021-01-01,86
Grainger,2021-01-01,78
Greene,2021-01-01,56
Hamblen,2021-01-01,0
Hancock,2021-01-01,42
Hardeman,2021-01-01,7
Hawkins,2021-01-01,129
Haywood,2021-01-01,350
Henry,2021-01-01,53
Jefferson,2021-01-01,15
Knox,2021-01-01,99
Lawrence,2021-01-01,40
Loudon,2021-01-01,891
Macon,2021-01-01,5
Madison,2021-01-01,67
Marion,2021-01-01,4
Marshall,2021-01-01,68
Maury,2021-01-01,71
McMinn,2021-01-01,1
Meigs,2021-01-01,1
Monroe,2021-01-01,4768
Montgomery,2021-01-01,2958
Obion,2021-01-01,27
Pickett,2021-01-01,0
Polk,2021-01-01,224
Putnam,2021-01-01,80
Rhea,2021-01-01,66
Roane,2021-01-01,20
Robertson,2021-01-01,8
Rutherford,2021-01-01,23
Scott,2021-01-01,21
Sequatchie,2021-01-01,1
Sevier,2021-01-01,1314
Shelby,2021-01-01,2020
Stewart,2021-01-01,1418
Sullivan,2021-01-01,13
Sumner,2021-01-01,104
Tipton,2021-01-01,5
Trousdale,2021-01-01,897
Union,2021-01-01,29
Van Buren,2021-01-01,2
Washington,2021-01-01,130
White,2021-01-01,1
Williamson,2021-01-01,2581
Wilson,2021-01-01,211
Anderson,2021-01-02,0
Bedford,2021-01-02,3
Bledsoe,2021-01-02,0
Blount,2021-01-02,31
Bradley,2021-01-02,3
Campbell,2021-01-02,0
Carter,2021-01-02,0
Cheatham,2021-01-02,1
Chester,2021-01-02,0
Claiborne,2021-01-02,1
Cocke,2021-01-02,24
Coffee,2021-01-02,1
Crockett,2021-01-02,25
Cumberland,2021-01-02,30
Davidson,2021-01-02,69
Fayette,2021-01-02,8
Franklin,2021-01-02,1
Gibson,2021-01-02,1
Giles,2021-01-02,16
Grainger,2021-01-02,1
Greene,2021-01-02,112
Grundy,2021-01-02,1
Hamblen,2021-01-02,2
Hamilton,2021-01-02,17
Hancock,2021-01-02,1
Hardeman,2021-01-02,0
Hawkins,2021-01-02,5
Haywood,2021-01-02,0
Henderson,2021-01-02,0
Henry,2021-01-02,5
Jefferson,2021-01-02,3
Knox,2021-01-02,121
Lauderdale,2021-01-02,0
Lincoln,2021-01-02,0
Loudon,2021-01-02,2
Macon,2021-01-02,5
Madison,2021-01-02,25
Marion,2021-01-02,110
Maury,2021-01-02,247
McMinn,2021-01-02,1
Monroe,2021-01-02,26
Montgomery,2021-01-02,27
Morgan,2021-01-02,0
Pickett,2021-01-02,1
